iter	Passed	Remaining
0	167	33355
1	175	17378
2	181	11891
3	185	9113
4	191	7471
5	196	6364
6	202	5572
7	207	4968
8	212	4517
9	218	4142
10	223	3834
11	227	3570
12	230	3311
13	235	3125
14	241	2981
15	249	2866
16	255	2745
17	261	2640
18	267	2543
19	272	2450
20	277	2361
21	282	2284
22	286	2207
23	291	2139
24	296	2074
25	300	2011
26	305	1957
27	310	1904
28	314	1857
29	319	1809
30	325	1773
31	329	1730
32	334	1690
33	338	1651
34	342	1615
35	347	1582
36	351	1548
37	356	1519
38	360	1490
39	366	1464
40	371	1440
41	376	1415
42	380	1390
43	384	1364
44	390	1346
45	397	1330
46	403	1313
47	408	1294
48	413	1273
49	421	1264
50	426	1244
51	430	1226
52	434	1205
53	439	1187
54	444	1170
55	449	1154
56	454	1139
57	459	1125
58	465	1112
59	470	1097
60	475	1082
61	480	1068
62	485	1054
63	490	1041
64	496	1030
65	501	1019
66	507	1006
67	512	994
68	516	981
69	522	970
70	528	959
71	533	948
72	539	938
73	544	926
74	550	916
75	566	924
76	571	912
77	575	900
78	580	888
79	585	877
80	590	867
81	595	857
82	601	847
83	606	837
84	611	826
85	626	830
86	631	820
87	636	810
88	641	800
89	646	789
90	651	780
91	655	769
92	660	760
93	665	750
94	669	740
95	674	730
96	678	720
97	683	711
98	688	702
99	693	693
100	697	684
101	702	674
102	706	665
103	710	656
104	714	646
105	719	637
106	723	628
107	727	620
108	732	611
109	736	602
110	741	594
111	746	586
112	750	578
113	755	569
114	759	561
115	763	553
116	768	544
117	772	536
118	776	528
119	781	521
120	787	514
121	792	506
122	796	498
123	801	490
124	805	483
125	809	475
126	813	467
127	818	460
128	822	452
129	827	445
130	832	438
131	836	430
132	841	423
133	845	416
134	850	409
135	855	402
136	860	395
137	864	388
138	869	381
139	873	374
140	878	367
141	882	360
142	887	353
143	893	347
144	898	340
145	903	334
146	908	327
147	912	320
148	917	313
149	922	307
150	927	300
151	931	294
152	936	287
153	941	281
154	946	274
155	951	268
156	955	261
157	959	255
158	964	248
159	968	242
160	973	235
161	977	229
162	983	223
163	989	217
164	994	210
165	999	204
166	1005	198
167	1011	192
168	1017	186
169	1022	180
170	1028	174
171	1037	168
172	1042	162
173	1048	156
174	1054	150
175	1060	144
176	1066	138
177	1072	132
178	1078	126
179	1085	120
180	1091	114
181	1097	108
182	1102	102
183	1107	96
184	1112	90
185	1117	84
186	1123	78
187	1130	72
188	1136	66
189	1142	60
190	1148	54
191	1153	48
192	1160	42
193	1166	36
194	1171	30
195	1176	24
196	1181	17
197	1187	11
198	1192	5
199	1197	0
